estacion,fecha,pm25_diario
Cerrillos,2023-11-20,8.729166666666666
Cerrillos,2023-12-20,15.944444444444445
Cerrillos,2024-01-20,15.447916666666666
Cerrillos,2024-02-20,14.625
Cerrillos,2024-03-20,17.92982456140351
Cerrillos,2024-04-20,33.138888888888886
Cerrillos,2024-05-20,49.84375
Cerrillos,2024-06-20,33.385416666666664
Cerrillos,2024-07-20,45.55555555555556
Cerrillos,2024-08-20,26
Cerrillos,2024-09-20,17.5
Cerrillos,2024-10-20,12.86111111111111
Cerrillos,2024-11-20,6.020833333333333
Cerrillos,2024-12-20,15.902777777777779
Cerrillos,2025-01-20,17.8125
Cerrillos,2025-02-20,14.083333333333334
Cerrillos,2025-03-20,21.645833333333332
Cerrillos,2025-04-20,36.611111111111114
Cerrillos,2025-05-20,43.770833333333336
Cerrillos,2025-06-20,35.645161290322584
Cerrillos,2025-07-20,55.184615384615384
Cerrillos,2025-08-20,24.430555555555557
Cerrillos,2025-09-20,25.25
Cerrillos,2025-10-20,12.277777777777779
Cerrillos,2025-11-20,7.5
Cerrillos,2025-12-20,12.73611111111111
Cerrillos,2026-01-20,16.416666666666668
Cerrillos,2026-02-20,16.93258426966292
Cerrillos,2026-03-20,19.327868852459016
Cerrillos,2026-04-20,25.80821917808219
Cerrillos,2026-05-20,45.65625
Cerrillos,2026-06-20,40.308510638297875
Cerrillos,2026-07-20,72.26315789473684
Cerrillos,2026-08-20,26.944444444444443
Cerrillos,2026-09-20,19.055555555555557
Cerrillos,2026-10-20,15.472222222222221
Cerrillos,2026-11-20,11.541666666666666
Cerrillos,2026-12-20,13.458333333333334
Cerrillos,2027-01-20,15.5625
Cerrillos,2027-02-20,16.84375
Cerrillos,2027-03-20,25.36111111111111
Cerrillos,2027-04-20,38.31944444444444
Cerrillos,2027-05-20,51.65625
Cerrillos,2027-06-20,63.791666666666664
Cerrillos,2027-07-20,53.486111111111114
Cerrillos,2027-08-20,23.819444444444443
Cerrillos,2027-09-20,17.27777777777778
Cerrillos,2027-10-20,10.069444444444445
Cerrillos,2027-11-20,14.297872340425531
Cerrillos,2027-12-20,13.666666666666666
Cerrillos,2028-01-20,17.385416666666668
Cerrillos,2028-02-20,18.604166666666668
Cerrillos,2028-03-20,25.647058823529413
Cerrillos,2028-04-20,51.83050847457627
Cerrillos,2028-05-20,39.364583333333336
Cerrillos,2028-06-20,48.84375
Cerrillos,2028-07-20,56.666666666666664
Cerrillos,2028-08-20,22.380281690140844
