comuna,anio,pm25_media
13125,2030,23.0437021006434
13125,2031,25.86249541731721
13201,2001,19.40309369560324
13201,2002,19.094076168136795
13201,2003,19.728134466720128
13201,2004,21.018836765190475
13201,2005,20.318182797520222
13201,2006,20.625696618992865
13201,2007,20.146296296296295
13201,2008,19.315740430667415
13201,2009,19.581401164757143
13201,2010,19.01085860756768
13201,2011,21.117920760621356
13201,2012,21.948687713096675
13201,2013,21.584224532155808
13201,2014,22.769260578694546
13201,2015,23.366941888883375
13201,2016,22.78223906552328
13201,2017,22.077649813809515
13201,2018,21.229104327629855
13201,2019,21.49073678477193
13201,2020,20.914928828081813
13201,2021,19.570305022566963
13201,2022,16.443650066124153
13201,2023,16.47122853746495
13201,2024,19.169587066315326
13201,2025,17.972022166467912
13201,2026,19.98717993001586
13201,2027,22.107118055555556
13201,2028,22.00176172377355
13201,2029,22.26609405937503
13201,2030,21.431866578095917
13201,2031,24.047134685731955
13601,2001,21.95415733491781
13601,2002,20.205059643919224
13601,2003,21.17346574029906
13601,2004,21.332535899246704
13601,2005,21.771618764942733
13601,2006,21.17001047249988
13601,2007,20.47147546545408
13601,2008,20.68175862975144
13601,2009,20.283927743060502
13601,2010,20.96780478353382
13601,2011,21.557031403497625
13601,2012,22.228919629161062
13601,2013,22.8039208523633
13601,2014,24.32425517656807
13601,2015,23.953646973101907
13601,2016,22.14677769410217
13601,2017,20.75311562130535
13601,2018,20.531875534683195
13601,2019,20.856840900106416
13601,2020,20.83002178068755
13601,2021,17.649566211609336
13601,2022,16.41412703528451
13601,2023,17.070095708929546
13601,2024,20.592038585122022
13601,2025,18.599921563531662
13601,2026,20.500832726255936
13601,2027,22.07100221923129
13601,2028,22.290025816936243
13601,2029,23.017953795386045
13601,2030,24.071659240392055
13601,2031,23.670525692475717
